fileName;N4;N4_antiCD8;T4;T4_antiCD8;V4;V4_antiCD8;UVpep;UVpep_antiCD8
20220302.csv;0.54473686;;0.0751462;;0.05760234;;0.040643275;
20220310.csv;0.40568966;;0.04965517;;0.022068964;;0.015172413;
20220323_test6.csv;0.3224026;0.007792208;;;;;0.01525974;0.01525974
20220427_test7.csv;0.039473683;7.602339E-4;;;;;-0.001754386;-0.0016374269
20220609_test9.csv;0.66519725;0.08062645;0.16055684;0.073085845;0.107192576;0.07169374;0.08364269;0.07761021
20220725_test14.csv;0.43486843;0.013651316;0.06858553;0.007401316;0.028125;0.009539474;0.029605264;0.019243421
20220818_test16.csv;0.42974052;0.011377245;;;;;0.016966067;0.013373254
20220818_test16_2.csv;0.1274074;0.0017901234;;;;;0.0041358024;0.0034567902
20220824_test17.csv;0.11480663;0.008729282;0.013701658;0.0026519338;0.006353591;0.0038121548;0.0056353593;0.0035911603
