fileName;N4;N4_antiCD8;T4;T4_antiCD8;V4;V4_antiCD8;UVpep;UVpep_antiCD8
20220302.csv_fit10.txt;3.56E-01;;2.29E-02;;2.06E-02;;1.42E-02;
20220310.csv_fit10.txt;2.22E-01;;3.63E-02;;3.00E-02;;2.33E-02;
20220323_test6.csv_fit10.txt;5.31E-01;8.15E-02;;;;;9.00E-02;9.66E-02
20220427_test7.csv_fit10.txt;3.82E-01;5.28E-02;;;;;4.65E-02;4.56E-02
20220609_test9.csv_fit10.txt;2.65E-01;7.35E-02;4.36E-02;2.75E-02;2.32E-02;2.24E-02;8.75E-02;7.65E-02
20220725_test14.csv_fit10.txt;8.82E-01;1.57E-01;2.50E-01;4.08E-02;1.74E-01;6.34E-02;1.09E-01;6.77E-02
20220818_test16.csv_fit10.txt;1.00E+00;1.25E-01;;;;;2.33E-01;1.28E-01
20220818_test16_2.csv_fit10.txt;1.00E+00;3.12E-02;;;;;8.80E-02;2.10E-02
20220824_test17.csv_fit10.txt;8.09E-01;2.30E-02;8.60E-01;1.10E-01;2.39E-01;3.45E-04;1.01E-01;8.94E-02
