fileName;N4;N4_antiCD8;T4;T4_antiCD8;V4;V4_antiCD8;UVpep;UVpep_antiCD8
20220302.csv;0.20730995;;-0.0023391813;;5.847953E-4;;0.001754386;
20220310.csv;0.16431035;;-0.01198276;;-0.016465517;;-0.015517241;
20220323_test6.csv;0.122727275;-0.00935065;;;;;-0.0030844156;-0.0030844156
20220427_test7.csv;0.010116959;-0.004736842;;;;;-0.0048538013;-0.0045614033
20220609_test9.csv;0.312529;0.046287704;0.07169374;0.049303945;0.055220418;0.0537123;0.0537123;0.052204177
20220725_test14.csv;0.23601973;0.005098684;0.014144737;0.0037828947;0.0064144735;0.0023026315;0.015296052;0.009539474
20220818_test16.csv;0.21816367;0.001996008;;;;;0.005189621;0.0035928143
20220818_test16_2.csv;0.063580245;-0.0014197531;;;;;-4.3209878E-4;-0.0012962963
20220824_test17.csv;0.064309396;0.0023204419;0.0056906077;0.00160221;0.0020994474;0.0019889502;0.00320442;0.002762431
