fileName;ing;letter;peptide;A;A_error;B;B_error;k+1;k+1_error;k+2;k+2_error;k+3;k+3_error
20220725_test14.csv_fit10.txt;ing;D;UVpep;6.08E+03;*/ 1.00e+00;2.90E+02;*/ 1.00e+00;3.48E-04;*/ 1.03e+00;6.77E-02;*/ 1.05e+00;1.45E-04;*/ 2.29e+03
20220725_test14.csv_fit10.txt;no_ing;A;N4;6.08E+03;*/ 1.00e+00;2.90E+02;*/ 1.00e+00;7.71E-02;*/ 1.01e+00;8.82E-01;*/ 1.01e+00;9.97E-01;*/ 1.01e+00
20220725_test14.csv_fit10.txt;no_ing;B;T4;6.08E+03;*/ 1.00e+00;2.90E+02;*/ 1.00e+00;1.76E-03;*/ 1.01e+00;2.50E-01;*/ NaN;3.38E-02;*/ NaN
20220725_test14.csv_fit10.txt;no_ing;C;V4;6.08E+03;*/ 1.00e+00;2.90E+02;*/ 1.00e+00;6.92E-04;*/ 1.03e+00;1.74E-01;*/ 1.05e+00;3.29E-02;*/ 2.19e+00
20220725_test14.csv_fit10.txt;no_ing;D;UVpep;6.08E+03;*/ 1.00e+00;2.90E+02;*/ 1.00e+00;6.09E-04;*/ 1.02e+00;1.09E-01;*/ 1.03e+00;2.08E-05;*/ 2.00e+07
20220818_test16.csv_fit10.txt;ing;A;N4;5.01E+03;*/ 1.01e+00;2.02E+02;*/ 1.00e+00;5.07E-04;*/ 1.06e+00;1.25E-01;*/ 1.09e+00;9.71E-01;*/ NaN
20220818_test16.csv_fit10.txt;ing;B;UVpep;5.01E+03;*/ 1.01e+00;2.02E+02;*/ 1.00e+00;4.68E-04;*/ 1.07e+00;1.28E-01;*/ 1.10e+00;1.23E-03;*/ 2.44e+03
20220818_test16.csv_fit10.txt;no_ing;A;N4;5.01E+03;*/ 1.01e+00;2.02E+02;*/ 1.00e+00;1.08E-01;*/ 1.00e+00;1.00E+00;*/ 1.01e+00;8.22E-01;*/ NaN
20220818_test16.csv_fit10.txt;no_ing;B;UVpep;5.01E+03;*/ 1.01e+00;2.02E+02;*/ 1.00e+00;9.34E-04;*/ 1.06e+00;2.33E-01;*/ 1.07e+00;1.11E-03;*/ NaN
20220818_test16_2.csv_fit10.txt;ing;A;N4;1.62E+04;*/ NaN;3.00E+02;*/ 1.00e+00;6.03E-05;*/ 1.07e+00;3.12E-02;*/ 1.34e+00;1.01E-03;*/ 1.46e+21
20220818_test16_2.csv_fit10.txt;ing;B;UVpep;1.62E+04;*/ NaN;3.00E+02;*/ 1.00e+00;4.71E-05;*/ 1.09e+00;2.10E-02;*/ 1.58e+00;8.70E-01;*/ NaN
20220818_test16_2.csv_fit10.txt;no_ing;A;N4;1.62E+04;*/ NaN;3.00E+02;*/ 1.00e+00;2.28E-02;*/ NaN;1.00E+00;*/ NaN;1.01E-01;*/ NaN
20220818_test16_2.csv_fit10.txt;no_ing;B;UVpep;1.62E+04;*/ NaN;3.00E+02;*/ 1.00e+00;1.02E-04;*/ 1.06e+00;8.80E-02;*/ 1.14e+00;4.94E-02;*/ 4.49e+01
20220824_test17.csv_fit10.txt;ing;A;N4;1.81E+04;*/ 1.04e+00;2.68E+02;*/ 1.00e+00;7.64E-05;*/ 1.03e+00;2.30E-02;*/ NaN;6.17E-01;*/ NaN
20220824_test17.csv_fit10.txt;ing;B;T4;1.81E+04;*/ 1.04e+00;2.68E+02;*/ 1.00e+00;1.29E-04;*/ 1.07e+00;1.10E-01;*/ 1.08e+00;4.18E-01;*/ 1.63e+01
20220824_test17.csv_fit10.txt;ing;C;V4;1.81E+04;*/ 1.04e+00;2.68E+02;*/ 1.00e+00;5.65E-05;*/ 1.05e+00;3.45E-04;*/ NaN;1.21E-05;*/ NaN
20220824_test17.csv_fit10.txt;ing;D;UVpep;1.81E+04;*/ 1.04e+00;2.68E+02;*/ 1.00e+00;1.58E-04;*/ 1.06e+00;8.94E-02;*/ 1.07e+00;2.07E-01;*/ NaN
20220824_test17.csv_fit10.txt;no_ing;A;N4;1.81E+04;*/ 1.04e+00;2.68E+02;*/ 1.00e+00;1.51E-02;*/ 1.04e+00;8.09E-01;*/ 1.01e+00;1.28E-01;*/ 1.04e+00
20220824_test17.csv_fit10.txt;no_ing;B;T4;1.81E+04;*/ 1.04e+00;2.68E+02;*/ 1.00e+00;1.36E-03;*/ 1.06e+00;8.60E-01;*/ 1.04e+00;4.11E-01;*/ NaN
20220824_test17.csv_fit10.txt;no_ing;C;V4;1.81E+04;*/ 1.04e+00;2.68E+02;*/ 1.00e+00;2.82E-04;*/ 1.08e+00;2.39E-01;*/ 1.08e+00;1.84E-01;*/ 4.08e+00
20220824_test17.csv_fit10.txt;no_ing;D;UVpep;1.81E+04;*/ 1.04e+00;2.68E+02;*/ 1.00e+00;2.03E-04;*/ 1.06e+00;1.01E-01;*/ 1.06e+00;2.29E-01;*/ NaN
