time, min;MFI OVA-N4_10ug/ml;MFI OVA-N4_5ug/ml;MFI OVA-N4_2ug/ml;MFI OVA-N4_10ug/ml;MFI OVA-N4_5ug/ml;MFI OVA-N4_2ug/ml;MFI OVA-T4_10ug/ml;MFI OVA-T4_5ug/ml;MFI OVA-T4_2ug/ml;MFI OVA-T4_10ug/ml;MFI OVA-T4_5ug/ml;MFI OVA-T4_2ug/ml;MFI OVA-V4_10ug/ml;MFI OVA-V4_5ug/ml;MFI OVA-V4_2ug/ml;MFI OVA-V4_10ug/ml;MFI OVA-V4_5ug/ml;MFI OVA-V4_2ug/ml;MFI UVpep_10ug/ml;MFI UVpep_5ug/ml;MFI UVpep_2ug/ml;MFI UVpep_10ug/ml;MFI UVpep_5ug/ml;MFI UVpep_2ug/ml
2;525;416;250;525;416;250;132;104;61;132;104;61;106;70.4;51.8;106;70.4;51.8;96.3;78;60.5;96.3;78;60.5
4;559;424;279;559;424;279;146;103;74.5;146;103;74.5;114;90.3;69.3;114;90.3;69.3;106;85.6;70.4;106;85.6;70.4
8;634;452;296;634;452;296;170;139;104;170;139;104;157;121;90.9;157;121;90.9;143;111;92.1;143;111;92.1
16;352;262;192;352;262;192;243;233;187;243;233;187;292;255;189;292;255;189;353;321;236;353;321;236
32;391;294;207;391;294;207;316;260;192;316;260;192;328;276;203;328;276;203;362;313;262;362;313;262
64;398;297;217;398;297;217;314;241;201;314;241;201;335;261;213;335;261;213;397;336;263;397;336;263
128;406;306;228;406;306;228;322;270;207;322;270;207;342;296;221;342;296;221;376;353;280;376;353;280
