t,A,B,C,D,E,F
0.5,1389,1188,457,232,209,161
1,1815,1432,715,279,255,205
2,2223,1555,1209,308,278,266
3,2346,1712,1432,426,314,310
6,2328,1754,1163,395,352,336
12,1991,1440,434,429,395,215
24,1627,1121,204,475,433,160
