t,A,B,C,D,E,F
0.5,409,314,146,249,220,118
1,460,374,283,263,249,168
2,507,392,351,312,269,249
3,516,406,371,316,295,297
6,512,419,351,359,328,336
12,524,431,291,401,374,312
24,518,480,208,471,427,212
