t,A,B,C,D,E,F
0.5,274,229,181,230,237,173
1,341,306,244,252,245,216
2,383,324,274,337,274,253
3,381,340,306,329,306,304
6,391,358,332,360,340,337
12,421,396,331,398,377,331
24,474,427,337,450,423,337
