X,Y
0.0,0.0
0.39682539682539186,19.35483870967738
0.7936507936507979,40.32258064516128
0.9920634920634939,60.48387096774189
1.3888888888888857,79.83870967741933
1.9841269841269877,93.54838709677418
3.1746031746031775,99.99999999999997
4.563492063492049,95.16129032258064
6.150793650793645,89.51612903225805
7.9365079365079225,84.67741935483869
10.714285714285722,79.83870967741933
13.492063492063494,78.22580645161287
16.071428571428584,76.61290322580646
18.055555555555543,76.61290322580646
20.23809523809524,76.61290322580646
