N4;N4_antiCD8;T4;T4_antiCD8;V4;V4_antiCD8;UVpep;UVpep_antiCD8
4261.142857;4238.571429;3190.142857;3242.571429;2288.571429;1546.285714;3546.857143;2357.285714
4577.285714;4194.285714;2863;3323.714286;1915.285714;1427.857143;3264.142857;1922.428571
4644.428571;4013.714286;2919.142857;3039.142857;1674.857143;1356.857143;2807.142857;1721.142857
