N4;N4_antiCD8;T4;T4_antiCD8;V4;V4_antiCD8;UVpep;UVpep_antiCD8
5574.571429;4087.571429;3701.285714;3540.285714;2372.714286;1723.714286;2886.285714;1942
5283.428571;3818.428571;3696.857143;3297.285714;2100.571429;1669.285714;2442.142857;1915.714286
4873.857143;3425.714286;3500.714286;2890.714286;1838.571429;1650;2127.428571;1932.428571
