fileName;N4;N4_antiCD8;T4;T4_antiCD8;V4;V4_antiCD8;UVpep;UVpep_antiCD8
20220302.csv;0.38830408;;0.033918127;;0.016959064;;0.019298246;
20220310.csv;0.28931034;;0.013448275;;0.0016379324;;-0.0024137958;
20220323_test6.csv;0.21038961;-0.0030844156;;;;;0.0045454544;0.002922078
20220427_test7.csv;0.024444444;-0.0022807017;;;;;-0.003508772;-0.0029239766
20220609_test9.csv;0.49698374;0.0686775;0.09257541;0.06264501;0.07459397;0.067169376;0.067169376;0.067169376
20220725_test14.csv;0.325;0.012006579;0.03305921;0.007401316;0.017434211;0.0075657894;0.02006579;0.015460527
20220818_test16.csv;0.30978045;0.011377245;;;;;0.015169661;0.006986028
20220818_test16_2.csv;0.09141976;0.0017283951;;;;;0.0041358024;-4.3209878E-4
20220824_test17.csv;0.07977901;0.0025414363;0.0076243095;0.0014917128;0.0039779004;0.0020994474;0.003480663;0.0031491714
