N4;N4_antiCD8;T4;T4_antiCD8;V4;V4_antiCD8;UVpep;UVpep_antiCD8
9764.571429;5928.714286;4864.285714;3763.857143;2345;1501.714286;4474.142857;2544.571429
8977;5763.142857;4377.571429;3512.857143;2105.714286;1316.428571;3963.428571;1848.142857
8684.428571;5343.142857;4330.571429;2965.714286;1739;1276.285714;3281.714286;1779.857143
