fileName;N4;N4_antiCD8;T4;T4_antiCD8;V4;V4_antiCD8;UVpep;UVpep_antiCD8
20220302.csv_fit10.txt;6.58E-02;;3.59E-03;;3.94E-03;;5.02E-03;
20220310.csv_fit10.txt;3.15E-02;;1.47E-03;;1.45E-03;;1.74E-03;
20220323_test6.csv_fit10.txt;3.87E-02;8.99E-04;;;;;1.46E-03;1.67E-03
20220427_test7.csv_fit10.txt;2.01E-03;1.78E-04;;;;;1.43E-04;1.67E-04
20220609_test9.csv_fit10.txt;9.46E-02;5.05E-03;4.72E-03;3.40E-03;2.65E-03;2.42E-03;4.97E-03;6.05E-03
20220725_test14.csv_fit10.txt;7.71E-02;4.71E-04;1.76E-03;1.77E-04;6.92E-04;2.14E-04;6.09E-04;3.48E-04
20220818_test16.csv_fit10.txt;1.08E-01;5.07E-04;;;;;9.34E-04;4.68E-04
20220818_test16_2.csv_fit10.txt;2.28E-02;6.03E-05;;;;;1.02E-04;4.71E-05
20220824_test17.csv_fit10.txt;1.51E-02;7.64E-05;1.36E-03;1.29E-04;2.82E-04;5.65E-05;2.03E-04;1.58E-04
