X,Y
0.0,-379.7468354430457
2.0,2278.481012658216
2.0,5316.4556962025235
4.0,6835.443037974677
7.0,10632.911392405047
11.0,12151.8987341772
20.0,16708.860759493662
29.0,20506.329113924032
39.0,22025.316455696186
58.0,24683.544303797476
92.0,28101.2658227848
120.0,28101.2658227848
